status,health,commonname,latitude,longitude
Alive,Fair,pin oak,40.74429703,-73.980503
Alive,Fair,Chinese elm,40.80322536,-73.95451708
Alive,Fair,Japanese zelkova,40.78014059,-73.98330592
Alive,Fair,pin oak,40.78554522,-73.97871707
Alive,Fair,Japanese zelkova,40.79071238,-73.96895207
Alive,Fair,pin oak,40.80306821,-73.9541444
Alive,Fair,pin oak,40.80660709,-73.96496366
Alive,Fair,pin oak,40.73764782,-74.00145902
Alive,Fair,cherry,40.74965085,-73.969363
Alive,Fair,pin oak,40.84307616,-73.93711834
Alive,Fair,Japanese zelkova,40.79043854,-73.96910892
Alive,Fair,Japanese zelkova,40.78905714,-73.95502077
Alive,Fair,Japanese zelkova,40.78951468,-73.95468408
Alive,Fair,ginkgo,40.79470229,-73.97415083
Alive,Fair,honeylocust,40.74341879,-73.98033785
Alive,Fair,Japanese zelkova,40.7891841,-73.95492734
Alive,Fair,ginkgo,40.72823063,-73.97882138
Alive,Fair,cherry,40.72237077,-73.99071308
Alive,Fair,honeylocust,40.72794529,-73.97589493
Alive,Fair,honeylocust,40.80371235,-73.9534734
Alive,Fair,honeylocust,40.79491442,-73.97465267
Alive,Fair,green ash,40.76270891,-73.96293642
Alive,Fair,ginkgo,40.73782503,-73.97799906
Alive,Fair,pin oak,40.80659444,-73.96493365
Alive,Fair,honeylocust,40.80373824,-73.95353463
Alive,Fair,honeylocust,40.7435181,-73.98057287
Alive,Fair,Callery pear,40.77501107,-73.98897314
Alive,Fair,willow oak,40.80760658,-73.958356
Alive,Fair,Sophora,40.73523375,-74.00017279
Alive,Fair,Callery pear,40.76253112,-73.98683857
Alive,Fair,honeylocust,40.72072731,-73.9831946
Alive,Fair,ginkgo,40.77236283,-73.95500853
Alive,Fair,Callery pear,40.72700354,-73.99123688
Alive,Fair,Callery pear,40.78016225,-73.96112143
Alive,Fair,Callery pear,40.73908114,-73.97803035
Alive,Fair,Callery pear,40.77478631,-73.9884369
Alive,Fair,Sophora,40.78505649,-73.95092105
Alive,Fair,Sophora,40.72633629,-73.98813774
Alive,Fair,Sophora,40.78081658,-73.97616837
Alive,Fair,Sophora,40.74990766,-73.97627355
Alive,Fair,Sophora,40.72624222,-73.98791547
Alive,Fair,Callery pear,40.76329938,-73.9886641
Alive,Fair,Callery pear,40.7699445,-73.96060859
Alive,Fair,Callery pear,40.77129105,-73.95962557
Alive,Fair,Callery pear,40.76998762,-73.96057687
Alive,Fair,Norway maple,40.73590952,-74.00570073
