status,health,commonname,latitude,longitude
Alive,Poor,green ash,40.73927025,-73.97807073
Alive,Poor,ginkgo,40.74790558,-73.97946006
Alive,Poor,ginkgo,40.73786458,-73.97861718
Alive,Poor,Callery pear,40.74714761,-73.97692452
Alive,Poor,maple,40.80460104,-73.96167834
Alive,Poor,green ash,40.74339891,-73.97287395
Alive,Poor,Norway maple,40.79666663,-73.97265291
Alive,Poor,Callery pear,40.76572419,-73.96368636
Alive,Poor,Callery pear,40.76686946,-73.98517924
Alive,Poor,pin oak,40.71425286,-73.99263575
Alive,Poor,Callery pear,40.76700754,-73.98550701
Alive,Poor,Japanese tree lilac,40.77510843,-73.9550531
Alive,Poor,common hackberry,40.86443524,-73.92777659
Alive,Poor,Callery pear,40.76675745,-73.98491336
Alive,Poor,Callery pear,40.76697562,-73.98543123
Alive,Poor,Callery pear,40.766807,-73.95995211
Alive,Poor,Norway maple,40.80453616,-73.95262195
Alive,Poor,Callery pear,40.7670565,-73.98562322
Alive,Poor,pin oak,40.74817582,-73.97648879
Alive,Poor,Callery pear,40.71643198,-74.00963347
Alive,Poor,honeylocust,40.74535829,-73.97751238
Alive,Poor,pin oak,40.74810624,-73.97653812
Alive,Poor,black locust,40.80872052,-73.96315113
Alive,Poor,littleleaf linden,40.72091371,-74.00510655
Alive,Poor,London planetree,40.74259927,-73.97451887
Alive,Poor,littleleaf linden,40.82442139,-73.95486893
Alive,Poor,London planetree,40.81194711,-73.93489014
Alive,Poor,littleleaf linden,40.7220783,-73.99074855
Alive,Poor,London planetree,40.77971143,-73.97392117
Alive,Poor,London planetree,40.76594947,-73.95774634
Alive,Poor,littleleaf linden,40.72110795,-74.00513786
Alive,Poor,ginkgo,40.80109598,-73.95920121
Alive,Poor,ginkgo,40.76523767,-73.95994506
Alive,Poor,littleleaf linden,40.76898346,-73.96494086
Alive,Poor,littleleaf linden,40.7836252,-73.9732904
Alive,Poor,honeylocust,40.74353369,-73.97487484
Alive,Poor,ginkgo,40.76864239,-73.96413242
Alive,Poor,crab apple,40.81008038,-73.96242694
Alive,Poor,littleleaf linden,40.77025631,-73.96243557
Alive,Poor,ginkgo,40.72826934,-73.98678453
Alive,Poor,ginkgo,40.77262853,-73.98201991
Alive,Poor,ginkgo,40.73199873,-73.98434588
Alive,Poor,Norway maple,40.80462584,-73.95262673
Alive,Poor,Callery pear,40.76670813,-73.96002281
Alive,Poor,Callery pear,40.76887224,-73.96053344
Alive,Poor,purple-leaf plum,40.74470446,-73.97984344
Alive,Poor,Callery pear,40.79560153,-73.97429346
Alive,Poor,littleleaf linden,40.72906263,-73.98892872
Alive,Poor,littleleaf linden,40.78971525,-73.98041276
Alive,Poor,Callery pear,40.78670529,-73.9786354
