tempid,latitude,longitude
279134,40.71126747,-74.01602966
277304,40.70831755,-74.00458845
275803,40.70451638,-74.00816342
275101,40.7041304,-74.00754384
275932,40.7064656,-74.00635395
276220,40.70840054,-74.00194848
274998,40.70514144,-74.00503842
275938,40.70552674,-74.00573224
276132,40.70778928,-74.003842
276183,40.70649632,-74.00481602
277315,40.70762237,-74.00403313
274308,40.70371552,-74.00864942
276135,40.70828764,-74.00335912
275937,40.70554607,-74.00575523
275801,40.70444088,-74.00827307
283671,40.70856972,-74.01717704
275933,40.70653503,-74.00644634
278220,40.71513263,-74.01578568
277437,40.70952611,-74.00510949
275107,40.70403978,-74.00743569
275116,40.70390279,-74.00731846
278219,40.71524992,-74.01569204
279051,40.71146338,-74.01528811
283673,40.70864176,-74.01708676
276242,40.7063464,-74.00477292
275112,40.70396171,-74.00738879
276219,40.70846495,-74.00201589
283674,40.70867976,-74.01709867
275941,40.70546723,-74.00586967
275943,40.70542707,-74.00592796
276130,40.70763493,-74.00403479
275935,40.70558475,-74.00569908
275939,40.70550702,-74.00581192
277233,40.70814737,-74.00551623
275802,40.70446666,-74.00823563
278218,40.71535689,-74.01560664
275936,40.70556542,-74.00567608
274608,40.70226142,-74.00969716
274310,40.70355372,-74.00846742
275108,40.70402225,-74.00746105
275115,40.70392032,-74.0072931
274309,40.7035925,-74.00851104
278243,40.71541395,-74.01651144
275944,40.70540774,-74.00590497
277227,40.70739297,-74.00765948
275934,40.70560521,-74.00561833
276243,40.70630754,-74.00483739
278347,40.7172329,-74.01607563
275942,40.7054479,-74.00584668
170709,40.70656976,-74.01661684
278226,40.71419253,-74.01651469
278222,40.71455674,-74.01623134
276122,40.70587081,-74.00404968
277312,40.70795776,-74.00430105
276125,40.70604699,-74.00424734
283651,40.70944689,-74.01747653
283652,40.70942871,-74.01739784
277310,40.7081468,-74.00445206
277307,40.70820456,-74.00453829
277309,40.70815437,-74.0044982
275130,40.70464869,-74.00686625
276134,40.70807639,-74.00360056
283648,40.70949459,-74.01768292
278242,40.71527201,-74.01619513
273859,40.70258519,-74.01297441
274407,40.70402946,-74.00847261
274408,40.70400009,-74.00843731
278109,40.71525876,-74.01397246
278111,40.71528292,-74.01412429
