tree_id,x_sp,y_sp
278305,979739.1521,200240.8863
284526,979702.5416,197836.1703
284521,979676.0419,197769.597
277913,980122.3619,199946.2176
283676,979535.0905,197495.3941
283672,979501.6292,197433.682
273858,980659.8028,195259.3894
273851,980636.0151,195373.5371
277438,982850.3794,197795.7501
284530,979718.6508,197877.1151
278270,979933.2143,200041.4963
279132,979819.957,198456.7593
278225,979683.2854,199495.981
278227,979662.5974,199461.047
278248,979702.0734,200111.1576
278228,979635.1884,199414.7653
279131,979826.6279,198478.7704
278245,979673.1955,200000.9271
278244,979658.6266,199968.8498
273990,981275.316,195652.9549
283649,979362.1079,197760.5776
273987,981169.8086,195627.8926
283647,979324.602,197771.9766
278250,979709.7423,200166.6299
278247,979690.8657,200051.3188
278249,979704.867,200131.3655
277293,982831.4388,197551.7805
283650,979383.5399,197754.0642
284529,979705.7099,197870.1709
274299,982019.8247,196084.3274
274301,981985.9445,196053.2126
284819,979831.5892,197916.2548
274300,982003.3267,196069.1758
277208,981618.3566,197364.7149
284531,979722.302,197911.765
273857,980647.9317,195269.7863
284522,979685.0764,197792.2629
284524,979693.8887,197814.3712
277911,980077.0333,199955.1494
284519,979666.9449,197746.7473
274173,982320.0114,196343.4893
273688,980308.9416,195357.4099
277912,980100.5808,199950.5096
278265,979751.5418,200183.208
284517,979658.0318,197724.3556
273852,980628.918,195361.026
278114,980277.1467,199885.6882
273692,980399.6383,195237.25
278338,979724.51,200369.3211
278340,979735.0651,200419.2167
278266,979907.2665,200092.9322
276174,983696.1753,197616.6294
273986,981140.5088,195621.4484
278350,979860.3779,200689.4287
278336,979718.4926,200312.3452
274174,982295.1253,196320.6173
278345,979772.6923,200538.4878
273689,980325.1312,195327.987
284685,979605.9095,197780.4897
278117,980218.4195,199897.9802
273695,980643.9882,195203.3577
273691,980359.7007,195284.8106
273690,980338.2782,195311.4697
273989,981245.9876,195644.6471
284532,979735.4441,197918.9828
278116,980237.9952,199893.8831
277598,983425.9472,198103.1429
278246,979679.4826,200018.8569
278349,979845.6974,200668.4567
202490,982385.3462,197110.6071
273694,980627.4436,195202.0017
273985,981112.3809,195615.262
276123,983094.3468,196482.76
278118,980206.4782,199900.4792
278119,980164.5984,199906.678
276342,982766.4888,196479.2957
278342,979746.2305,200467.2179
278344,979763.4253,200515.7129
276124,983083.439,196495.5372
274305,981833.871,195900.6516
278339,979729.7666,200394.1711
